Family,Type,Subtype,Full Type Code,id_product_fulltype
stationery,forms_recordkeeping_money_handling,currency_bands_straps,stationery-forms_recordkeeping_money_handling-currency_bands_straps,5732
stationery,forms_recordkeeping_money_handling,counterfeit_bill_detectors,stationery-forms_recordkeeping_money_handling-counterfeit_bill_detectors,5731
stationery,forms_recordkeeping_money_handling,coin_storage_shipping_boxes,stationery-forms_recordkeeping_money_handling-coin_storage_shipping_boxes,5730
stationery,forms_recordkeeping_money_handling,coin_roll_wrappers,stationery-forms_recordkeeping_money_handling-coin_roll_wrappers,5729
stationery,forms_recordkeeping_money_handling,coin_counters_sorters,stationery-forms_recordkeeping_money_handling-coin_counters_sorters,5728
stationery,forms_recordkeeping_money_handling,clipboards,stationery-forms_recordkeeping_money_handling-clipboards,5727
stationery,forms_recordkeeping_money_handling,check_writers,stationery-forms_recordkeeping_money_handling-check_writers,5726
stationery,forms_recordkeeping_money_handling,certificate_covers,stationery-forms_recordkeeping_money_handling-certificate_covers,5725
stationery,forms_recordkeeping_money_handling,cash_boxes,stationery-forms_recordkeeping_money_handling-cash_boxes,5724
stationery,forms_recordkeeping_money_handling,cash_bags,stationery-forms_recordkeeping_money_handling-cash_bags,5723
stationery,forms_recordkeeping_money_handling,cabinets,stationery-forms_recordkeeping_money_handling-cabinets,5722
stationery,forms_recordkeeping_money_handling,bill_counters,stationery-forms_recordkeeping_money_handling-bill_counters,5721
stationery,forms_recordkeeping_money_handling,awards_certificates,stationery-forms_recordkeeping_money_handling-awards_certificates,5720
stationery,filing_products,top_tab_classification_folders,stationery-filing_products-top_tab_classification_folders,5719
stationery,filing_products,supply_organizers,stationery-filing_products-supply_organizers,5718
stationery,filing_products,record_storage_boxes,stationery-filing_products-record_storage_boxes,5717
stationery,filing_products,project_folders,stationery-filing_products-project_folders,5716
stationery,filing_products,legal_indexes,stationery-filing_products-legal_indexes,5715
stationery,filing_products,index_dividers,stationery-filing_products-index_dividers,5714
stationery,filing_products,index_card_filing,stationery-filing_products-index_card_filing,5713
stationery,filing_products,index_business_card_guides,stationery-filing_products-index_business_card_guides,5712
stationery,filing_products,index_business_card_files,stationery-filing_products-index_business_card_files,5711
stationery,filing_products,hanging_folders_interior_folders,stationery-filing_products-hanging_folders_interior_folders,5710
stationery,filing_products,file_sorters,stationery-filing_products-file_sorters,5709
stationery,filing_products,file_guides,stationery-filing_products-file_guides,5708
stationery,filing_products,file_folders,stationery-filing_products-file_folders,5707
stationery,filing_products,file_folder_labels,stationery-filing_products-file_folder_labels,5706
stationery,filing_products,file_folder_frames,stationery-filing_products-file_folder_frames,5705
stationery,filing_products,file_folder_accessories,stationery-filing_products-file_folder_accessories,5704
stationery,filing_products,expanding_wallets,stationery-filing_products-expanding_wallets,5703
stationery,filing_products,expanding_files,stationery-filing_products-expanding_files,5702
stationery,filing_products,end_tab_classification_folders,stationery-filing_products-end_tab_classification_folders,5701
stationery,filing_products,desk_calendar_indexes,stationery-filing_products-desk_calendar_indexes,5700
stationery,filing_products,conversion_file_folders,stationery-filing_products-conversion_file_folders,5699
stationery,envelopes_mailers_shipping_supplies,tube_mailers,stationery-envelopes_mailers_shipping_supplies-tube_mailers,5698
stationery,envelopes_mailers_shipping_supplies,transit_sacks,stationery-envelopes_mailers_shipping_supplies-transit_sacks,5697
stationery,envelopes_mailers_shipping_supplies,stretch_film,stationery-envelopes_mailers_shipping_supplies-stretch_film,5696
stationery,envelopes_mailers_shipping_supplies,paper_folders,stationery-envelopes_mailers_shipping_supplies-paper_folders,5695
stationery,envelopes_mailers_shipping_supplies,packing_tape,stationery-envelopes_mailers_shipping_supplies-packing_tape,5694
stationery,envelopes_mailers_shipping_supplies,packing_list_envelopes,stationery-envelopes_mailers_shipping_supplies-packing_list_envelopes,5693
stationery,envelopes_mailers_shipping_supplies,media_mailers,stationery-envelopes_mailers_shipping_supplies-media_mailers,5692
stationery,envelopes_mailers_shipping_supplies,mail_sorters,stationery-envelopes_mailers_shipping_supplies-mail_sorters,5691
stationery,envelopes_mailers_shipping_supplies,mail_bags,stationery-envelopes_mailers_shipping_supplies-mail_bags,5690
stationery,envelopes_mailers_shipping_supplies,literature_organizers,stationery-envelopes_mailers_shipping_supplies-literature_organizers,5689
stationery,envelopes_mailers_shipping_supplies,interoffice_routing_envelopes,stationery-envelopes_mailers_shipping_supplies-interoffice_routing_envelopes,5688
stationery,envelopes_mailers_shipping_supplies,greeting_card_envelopes,stationery-envelopes_mailers_shipping_supplies-greeting_card_envelopes,5687
stationery,envelopes_mailers_shipping_supplies,forms_check_envelopes,stationery-envelopes_mailers_shipping_supplies-forms_check_envelopes,5686
stationery,envelopes_mailers_shipping_supplies,filing_envelopes,stationery-envelopes_mailers_shipping_supplies-filing_envelopes,5685
stationery,envelopes_mailers_shipping_supplies,expansion_jumbo_envelopes,stationery-envelopes_mailers_shipping_supplies-expansion_jumbo_envelopes,5684
stationery,envelopes_mailers_shipping_supplies,envelope_mailers,stationery-envelopes_mailers_shipping_supplies-envelope_mailers,5683
stationery,envelopes_mailers_shipping_supplies,cushioning_materials,stationery-envelopes_mailers_shipping_supplies-cushioning_materials,5682
stationery,envelopes_mailers_shipping_supplies,coin_small_parts_envelopes,stationery-envelopes_mailers_shipping_supplies-coin_small_parts_envelopes,5681
stationery,envelopes_mailers_shipping_supplies,clasp_envelopes,stationery-envelopes_mailers_shipping_supplies-clasp_envelopes,5680
stationery,envelopes_mailers_shipping_supplies,catalog_envelopes,stationery-envelopes_mailers_shipping_supplies-catalog_envelopes,5679
stationery,envelopes_mailers_shipping_supplies,business_envelopes,stationery-envelopes_mailers_shipping_supplies-business_envelopes,5678
stationery,envelopes_mailers_shipping_supplies,bubble_wrap_dispensers,stationery-envelopes_mailers_shipping_supplies-bubble_wrap_dispensers,5677
stationery,envelopes_mailers_shipping_supplies,bubble_wrap,stationery-envelopes_mailers_shipping_supplies-bubble_wrap,5676
stationery,envelopes_mailers_shipping_supplies,box_mailers,stationery-envelopes_mailers_shipping_supplies-box_mailers,5675
stationery,envelopes_mailers_shipping_supplies,booklet_envelopes,stationery-envelopes_mailers_shipping_supplies-booklet_envelopes,5674
stationery,education_crafts,teaching_materials,stationery-education_crafts-teaching_materials,5673
stationery,education_crafts,teachers_calendars_planners,stationery-education_crafts-teachers_calendars_planners,5672
stationery,education_crafts,special_education_supplies,stationery-education_crafts-special_education_supplies,5671
stationery,education_crafts,spanish_esl_materials,stationery-education_crafts-spanish_esl_materials,5670
stationery,education_crafts,social_studies_materials,stationery-education_crafts-social_studies_materials,5669
stationery,education_crafts,social_studies_accessories,stationery-education_crafts-social_studies_accessories,5668
stationery,education_crafts,sign_language_materials,stationery-education_crafts-sign_language_materials,5667
stationery,education_crafts,school_supply_storage_boxes,stationery-education_crafts-school_supply_storage_boxes,5666
